,PlayerName,ESPNWidereceiverRating,LongReception,YardReceivingPlays,ReceivingFirstDowns,ReceivingFumbles,ReceivingFumblesLost,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsAfterCatch,ReceivingYardsAtCatch,ReceivingYardsPerGame,Receptions,TeamGamesPlayed,TotalOffensivePlays,TotalPointsPerGame,TotalTouchdowns,TotalYards,TotalYardsFromScrimmage,TwoPointReceivingConversion,TwoPointReceptions,TwoPointReceptionAttempts,YardsFromScrimmagePerGame,YardsPerGame,YardsPerReception
36,Jakobi Meyers,1349.0,48.0,14.0,38.0,1.0,1.0,96.0,6.0,804.0,238.0,566.0,57.42856979370117,67.0,17.0,2.0,2.5714285373687744,6.0,793.0,793.0,-1.0,1.0,2.0,56.64285659790039,56.64285659790039,12.0
37,George Pickens,1201.0,42.0,17.0,38.0,0.0,0.0,84.0,4.0,801.0,104.0,697.0,47.117645263671875,52.0,17.0,3.0,1.7647058963775635,5.0,825.0,825.0,-1.0,1.0,1.0,48.52941131591797,48.52941131591797,15.404000282287598
38,Allen Lazard,1298.0,47.0,13.0,45.0,0.0,0.0,100.0,6.0,788.0,248.0,540.0,52.53333282470703,60.0,17.0,2.0,2.4000000953674316,6.0,788.0,788.0,-1.0,0.0,1.0,52.53333282470703,52.53333282470703,13.133000373840332
39,Joshua Palmer,1234.0,50.0,7.0,39.0,1.0,0.0,107.0,3.0,769.0,255.0,514.0,48.0625,72.0,17.0,1.0,1.125,3.0,773.0,773.0,-1.0,1.0,1.0,48.3125,48.3125,10.680999755859375
40,Evan Engram,1271.0,36.0,10.0,33.0,0.0,0.0,98.0,4.0,766.0,465.0,301.0,45.05882263183594,73.0,17.0,2.0,1.4117647409439087,4.0,779.0,779.0,-1.0,1.0,3.0,45.82352828979492,45.82352828979492,10.493000030517578
41,George Kittle,1450.0,54.0,12.0,36.0,1.0,1.0,86.0,11.0,765.0,382.0,383.0,51.0,60.0,17.0,0.0,4.400000095367432,11.0,765.0,765.0,-1.0,0.0,0.0,51.0,51.0,12.75
42,Tyler Boyd,1227.0,60.0,10.0,41.0,0.0,0.0,82.0,5.0,762.0,249.0,513.0,47.625,58.0,16.0,2.0,1.875,5.0,785.0,762.0,-1.0,1.0,2.0,47.625,49.0625,13.137999534606934
43,Keenan Allen,1222.0,46.0,7.0,39.0,1.0,1.0,89.0,4.0,752.0,263.0,489.0,75.19999694824219,66.0,17.0,1.0,2.4000000953674316,4.0,760.0,760.0,-1.0,0.0,0.0,76.0,76.0,11.394000053405762
44,Christian McCaffrey,1341.0,49.0,8.0,36.0,0.0,0.0,108.0,5.0,741.0,695.0,46.0,43.588233947753906,85.0,17.0,245.0,4.588235378265381,14.0,1914.0,1880.0,-1.0,0.0,0.0,110.5882339477539,112.5882339477539,8.718000411987305
45,Pat Freiermuth,1117.0,57.0,9.0,37.0,0.0,0.0,98.0,2.0,732.0,291.0,441.0,45.75,63.0,17.0,0.0,0.75,2.0,732.0,732.0,-1.0,0.0,0.0,45.75,45.75,11.619000434875488
46,Darius Slayton,1024.0,55.0,12.0,30.0,2.0,1.0,71.0,2.0,724.0,262.0,462.0,45.25,46.0,17.0,0.0,0.75,2.0,724.0,724.0,-1.0,0.0,0.0,45.25,45.25,15.73900032043457
47,Austin Ekeler,1432.0,23.0,4.0,36.0,2.0,1.0,127.0,5.0,722.0,857.0,-135.0,42.47058868408203,107.0,17.0,204.0,6.352941036224365,18.0,1637.0,1637.0,-1.0,0.0,0.0,96.29412078857422,96.29412078857422,6.748000144958496
48,DeAndre Hopkins,1142.0,33.0,8.0,35.0,2.0,1.0,96.0,3.0,717.0,165.0,552.0,79.66666412353516,64.0,17.0,0.0,2.0,3.0,717.0,717.0,-1.0,0.0,2.0,79.66666412353516,79.66666412353516,11.20300006866455
49,Adam Thielen,1276.0,36.0,7.0,45.0,0.0,0.0,107.0,6.0,716.0,152.0,564.0,42.117645263671875,70.0,17.0,1.0,2.117647171020508,6.0,720.0,720.0,-1.0,1.0,2.0,42.35293960571289,42.35293960571289,10.229000091552734
50,Marquise Brown,1149.0,47.0,9.0,33.0,1.0,0.0,107.0,3.0,709.0,236.0,473.0,59.08333206176758,67.0,17.0,1.0,1.5,3.0,710.0,710.0,-1.0,0.0,0.0,59.16666793823242,59.16666793823242,10.581999778747559
51,Dallas Goedert,1082.0,31.0,11.0,40.0,1.0,1.0,69.0,3.0,702.0,420.0,282.0,58.5,55.0,17.0,0.0,1.5,3.0,702.0,702.0,-1.0,0.0,0.0,58.5,58.5,12.763999938964844
