,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
165,Jacob Martin,LB,0.0,7.599999904632568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.5,19.0,0.0,7.0,1.5,1.0,2.0,11.0,17.0,14.0,0.0,0.0,0.0
166,DaVon Hamilton,DT,0.0,2.799999952316284,1.3329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.5,7.0,0.0,27.0,7.0,4.0,5.0,10.0,17.0,56.0,0.0,0.0,0.0
167,Logan Wilson,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
168,Ed Oliver,DT,0.0,5.199999809265137,2.8329999446868896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,2.5,13.0,1.0,20.0,8.5,17.0,9.0,38.0,16.0,34.0,0.0,0.0,0.0
169,Micheal Clemons,DE,0.0,3.5999999046325684,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.5,9.0,0.0,22.0,6.5,2.0,4.0,10.0,17.0,36.0,0.0,0.0,0.0
170,Arnold Ebiketie,DE,0.0,7.400000095367432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,2.5,18.5,0.0,21.0,2.0,1.0,3.0,16.0,17.0,30.0,0.0,0.0,0.0
171,Yetur Gross-Matos,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
172,Willie Gay,LB,47.0,3.200000047683716,2.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,2.5,8.0,0.0,51.0,8.0,22.0,9.0,24.0,17.0,88.0,0.0,0.0,0.0
173,Logan Hall,DE,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.5,20.0,0.0,7.0,3.0,3.0,5.0,18.0,17.0,12.0,0.0,0.0,0.0
174,Christian Barmore,DT,0.0,6.199999809265137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.5,15.5,0.0,12.0,1.5,0.0,2.0,13.0,17.0,23.0,0.0,0.0,0.0
