,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
146,Derrick Brown,DT,0.0,2.5,1.2000000476837158,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,12.0,0.0,1.0,2.5,0.0,30.0,11.5,6.0,5.0,5.0,17.0,67.0,0.0,0.0,0.0
147,Cameron Jordan,DE,0.0,7.940999984741211,2.8889999389648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,8.5,67.5,0.0,40.0,12.5,26.0,13.0,44.0,17.0,66.0,0.0,0.0,0.0
148,Patrick Peterson,CB,18.399999618530273,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,6.0,3.0,6.0,17.0,66.0,0.0,0.0,0.0
149,Stephon Gilmore,CB,15.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,53.0,0.5,0.0,0.0,0.0,17.0,66.0,0.0,0.0,0.0
150,Adrian Phillips,S,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,37.0,4.5,9.0,3.0,8.0,17.0,66.0,0.0,0.0,0.0
151,Fabian Moreau,CB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,16.0,66.0,0.0,0.0,0.0
152,Uchenna Nwosu,LB,0.0,6.578999996185303,4.400000095367432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,9.5,62.5,0.0,42.0,12.5,22.0,12.0,56.0,17.0,66.0,0.0,0.0,0.0
153,Ryan Neal,S,13.0,6.0,1.6670000553131104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,6.0,0.0,45.0,3.5,5.0,4.0,11.0,17.0,66.0,0.0,0.0,0.0
154,Monty Rice,LB,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0,7.5,5.0,4.0,3.0,17.0,66.0,0.0,0.0,0.0
155,DeMarcus Lawrence,DE,0.0,5.833000183105469,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,6.0,35.0,0.0,43.0,11.0,7.0,9.0,32.0,17.0,65.0,0.0,0.0,0.0
156,Danielle Hunter,LB,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,10.5,63.0,0.0,46.0,4.5,8.0,12.0,59.0,17.0,65.0,0.0,0.0,0.0
157,Jonathan Allen,DT,1.0,7.132999897003174,2.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,17.0,0.0,7.5,53.5,0.0,44.0,17.0,33.0,16.0,63.0,17.0,65.0,0.0,0.0,0.0
158,Carlton Davis III,CB,0.0,0.0,1.6670000553131104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,53.0,3.5,5.0,3.0,3.0,17.0,65.0,0.0,0.0,0.0
159,Kenny Moore II,CB,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,7.0,0.0,50.0,5.0,12.0,4.0,19.0,17.0,65.0,0.0,0.0,0.0
