,PlayerName,ESPNRBRating,LongRushing,NetTotalYards,NetYardsPerGame,RushingAttempts,YardRushingPlays,Rushing1stdowns,RushingFumbles,RushingFumblesLost,RushingTouchdowns,RushingYards,RushingYardsPerGame,Stuffs,StuffYardsLost,TeamGamesPlayed,TotalOffensivePlays,TotalPointsPerGame,TotalTouchdowns,TotalYards,TotalYardsFromScrimmage,TwoPointRushConversion,TwoPointRush,TwoPointRushAttempts,YardsFromScrimmagePerGame,YardsPerGame,YardsPerRushAttempt
100,Tyler Huntley,172.0,14.0,761.0,126.83333587646484,43.0,0.0,12.0,3.0,0.0,1.0,137.0,22.83333396911621,2.0,5.0,17.0,162.0,1.0,3.0,795.0,137.0,-1.0,1.0,1.0,22.83333396911621,132.5,3.186000108718872
101,Dare Ogunbowale,158.0,11.0,123.0,7.235294342041016,42.0,0.0,10.0,0.0,0.0,1.0,123.0,7.235294342041016,4.0,7.0,17.0,42.0,0.3529411852359772,1.0,227.0,227.0,-1.0,0.0,1.0,13.352941513061523,13.352941513061523,2.928999900817871
102,Malik Willis,128.0,17.0,350.0,43.75,27.0,0.0,8.0,3.0,2.0,1.0,123.0,15.375,3.0,6.0,17.0,98.0,0.75,1.0,399.0,123.0,-1.0,0.0,0.0,15.375,49.875,4.556000232696533
103,Royce Freeman,102.0,11.0,117.0,29.25,41.0,0.0,7.0,1.0,1.0,0.0,117.0,29.25,4.0,14.0,5.0,41.0,0.0,0.0,150.0,150.0,-1.0,0.0,0.0,37.5,37.5,2.8540000915527344
104,Avery Williams,129.0,21.0,109.0,6.411764621734619,22.0,1.0,6.0,0.0,0.0,1.0,109.0,6.411764621734619,4.0,13.0,17.0,22.0,0.3529411852359772,1.0,170.0,170.0,-1.0,0.0,0.0,10.0,10.0,4.954999923706055
105,Davis Mills,133.0,17.0,2982.0,198.8000030517578,32.0,0.0,8.0,3.0,1.0,2.0,108.0,7.199999809265137,0.0,0.0,17.0,542.0,0.800000011920929,19.0,3226.0,108.0,-1.0,0.0,0.0,7.199999809265137,215.06666564941406,3.375
106,Sony Michel,106.0,12.0,106.0,10.600000381469727,36.0,0.0,8.0,0.0,0.0,0.0,106.0,10.600000381469727,2.0,6.0,15.0,36.0,0.0,0.0,159.0,159.0,-1.0,0.0,0.0,15.899999618530273,15.899999618530273,2.944000005722046
107,Sam Darnold,146.0,26.0,1171.0,195.1666717529297,26.0,1.0,10.0,5.0,1.0,2.0,106.0,17.66666603088379,2.0,2.0,17.0,176.0,2.0,9.0,1249.0,106.0,-1.0,0.0,0.0,17.66666603088379,208.1666717529297,4.077000141143799
108,Velus Jones Jr.,93.0,42.0,103.0,8.583333015441895,9.0,1.0,5.0,1.0,1.0,1.0,103.0,8.583333015441895,1.0,1.0,17.0,9.0,1.0,2.0,210.0,210.0,-1.0,0.0,0.0,17.5,17.5,11.444000244140625
109,Derek Carr,102.0,20.0,3433.0,228.86666870117188,24.0,1.0,10.0,1.0,0.0,0.0,102.0,6.800000190734863,0.0,0.0,17.0,553.0,0.0,24.0,3624.0,102.0,-1.0,0.0,0.0,6.800000190734863,241.60000610351562,4.25
110,Darrel Williams,137.0,30.0,102.0,17.0,21.0,1.0,8.0,0.0,0.0,1.0,102.0,17.0,1.0,1.0,17.0,21.0,1.0,1.0,111.0,111.0,-1.0,0.0,0.0,18.5,18.5,4.85699987411499
111,Mike Boone,102.0,18.0,102.0,11.333333015441895,24.0,0.0,6.0,0.0,0.0,0.0,102.0,11.333333015441895,1.0,1.0,17.0,24.0,0.0,0.0,198.0,198.0,-1.0,0.0,0.0,22.0,22.0,4.25
112,Mac Jones,122.0,15.0,2868.0,204.85714721679688,47.0,0.0,12.0,3.0,0.0,1.0,102.0,7.285714149475098,1.0,1.0,17.0,523.0,0.4285714328289032,15.0,3099.0,102.0,-1.0,0.0,0.0,7.285714149475098,221.35714721679688,2.1700000762939453
113,Zach Wilson,122.0,18.0,1615.0,179.44444274902344,28.0,0.0,7.0,0.0,0.0,1.0,102.0,11.333333015441895,0.0,0.0,17.0,293.0,1.3333333730697632,8.0,1792.0,104.0,-1.0,0.0,0.0,11.55555534362793,199.11111450195312,3.6429998874664307
114,Craig Reynolds,102.0,21.0,102.0,11.333333015441895,23.0,1.0,4.0,0.0,0.0,0.0,102.0,11.333333015441895,3.0,9.0,17.0,23.0,0.0,0.0,218.0,218.0,-1.0,0.0,0.0,24.22222137451172,24.22222137451172,4.434999942779541
115,Pierre Strong Jr.,135.0,44.0,100.0,6.666666507720947,10.0,1.0,5.0,0.0,0.0,1.0,100.0,6.666666507720947,0.0,0.0,17.0,10.0,0.4000000059604645,1.0,142.0,142.0,-1.0,0.0,0.0,9.466666221618652,9.466666221618652,10.0
116,Tyrion Davis-Price,99.0,20.0,99.0,16.5,34.0,1.0,5.0,0.0,0.0,0.0,99.0,16.5,4.0,12.0,17.0,34.0,0.0,0.0,99.0,99.0,-1.0,0.0,0.0,16.5,16.5,2.9119999408721924
117,Ryan Tannehill,138.0,17.0,2396.0,199.6666717529297,34.0,0.0,12.0,1.0,1.0,2.0,98.0,8.166666984558105,1.0,2.0,17.0,392.0,1.0,15.0,2634.0,98.0,-1.0,0.0,0.0,8.166666984558105,219.5,2.881999969482422
118,Kirk Cousins,122.0,19.0,4315.0,253.8235321044922,31.0,0.0,11.0,2.0,0.0,2.0,97.0,5.705882549285889,2.0,7.0,17.0,720.0,0.7058823704719543,31.0,4644.0,97.0,-1.0,0.0,0.0,5.705882549285889,273.1764831542969,3.128999948501587
119,Taylor Heinicke,56.0,15.0,1814.0,201.55555725097656,28.0,0.0,6.0,1.0,0.0,1.0,96.0,10.666666984558105,3.0,7.0,17.0,306.0,0.6666666865348816,13.0,1955.0,96.0,-1.0,0.0,0.0,10.666666984558105,217.22222900390625,3.428999900817871
120,J.D. McKissic,95.0,33.0,95.0,11.875,22.0,1.0,5.0,0.0,0.0,0.0,95.0,11.875,2.0,3.0,17.0,22.0,0.0,0.0,268.0,268.0,-1.0,0.0,0.0,33.5,33.5,4.317999839782715
121,Amon-Ra St. Brown,95.0,58.0,95.0,5.9375,9.0,1.0,3.0,0.0,0.0,0.0,95.0,5.9375,0.0,0.0,17.0,9.0,2.25,6.0,1256.0,1256.0,-1.0,0.0,0.0,78.5,78.5,10.555999755859375
122,Aaron Rodgers,69.0,18.0,3531.0,207.7058868408203,34.0,0.0,9.0,3.0,2.0,1.0,94.0,5.529411792755127,0.0,0.0,17.0,608.0,0.3529411852359772,27.0,3789.0,94.0,-1.0,0.0,0.0,5.529411792755127,222.88235473632812,2.765000104904175
123,Hassan Haskins,93.0,12.0,93.0,6.199999809265137,25.0,0.0,5.0,0.0,0.0,0.0,93.0,6.199999809265137,0.0,0.0,17.0,25.0,0.0,0.0,150.0,150.0,-1.0,0.0,0.0,10.0,10.0,3.7200000286102295
124,Braxton Berrios,161.0,25.0,93.0,5.470588207244873,9.0,2.0,5.0,0.0,0.0,2.0,91.0,5.352941036224365,2.0,3.0,17.0,10.0,0.7058823704719543,3.0,238.0,236.0,-1.0,0.0,0.0,13.882352828979492,14.0,10.111000061035156
125,Bryce Perkins,90.0,23.0,201.0,40.20000076293945,19.0,1.0,6.0,0.0,0.0,0.0,90.0,18.0,1.0,4.0,17.0,59.0,0.0,1.0,251.0,90.0,-1.0,0.0,0.0,18.0,50.20000076293945,4.736999988555908
126,Benny Snell Jr.,125.0,16.0,90.0,5.294117450714111,20.0,0.0,6.0,0.0,0.0,1.0,90.0,5.294117450714111,0.0,0.0,17.0,20.0,0.3529411852359772,1.0,107.0,107.0,-1.0,0.0,0.0,6.294117450714111,6.294117450714111,4.5
127,Baker Mayfield,94.0,17.0,2035.0,169.5833282470703,31.0,0.0,7.0,6.0,1.0,1.0,89.0,7.416666507720947,2.0,6.0,17.0,402.0,0.5,11.0,2252.0,89.0,-1.0,0.0,0.0,7.416666507720947,187.6666717529297,2.871000051498413
128,Sam Ehlinger,72.0,19.0,573.0,143.25,17.0,0.0,5.0,1.0,0.0,0.0,87.0,21.75,0.0,0.0,17.0,132.0,0.0,3.0,660.0,87.0,-1.0,0.0,0.0,21.75,165.0,5.118000030517578
129,Carson Wentz,106.0,18.0,1682.0,210.25,22.0,0.0,4.0,3.0,0.0,1.0,86.0,10.75,0.0,0.0,17.0,324.0,0.75,12.0,1841.0,86.0,-1.0,0.0,0.0,10.75,230.125,3.9089999198913574
130,Jamal Agnew,86.0,30.0,86.0,5.733333110809326,12.0,1.0,6.0,0.0,0.0,0.0,86.0,5.733333110809326,2.0,7.0,17.0,12.0,1.2000000476837158,3.0,273.0,273.0,-1.0,0.0,0.0,18.200000762939453,18.200000762939453,7.166999816894531
131,Marlon Mack,119.0,17.0,84.0,10.5,16.0,0.0,4.0,0.0,0.0,1.0,84.0,10.5,1.0,1.0,13.0,16.0,1.5,2.0,183.0,183.0,-1.0,0.0,0.0,22.875,22.875,5.25
132,Jarrett Stidham,69.0,11.0,693.0,138.60000610351562,14.0,0.0,7.0,1.0,0.0,0.0,84.0,16.799999237060547,0.0,0.0,17.0,104.0,0.0,4.0,740.0,84.0,-1.0,0.0,0.0,16.799999237060547,148.0,6.0
133,Devin Duvernay,119.0,18.0,84.0,6.0,12.0,0.0,8.0,0.0,0.0,1.0,84.0,6.0,2.0,5.0,17.0,12.0,1.7142857313156128,4.0,491.0,491.0,-1.0,0.0,0.0,35.07143020629883,35.07143020629883,7.0
134,Kadarius Toney,102.0,32.0,82.0,9.11111068725586,7.0,1.0,5.0,0.0,0.0,1.0,82.0,9.11111068725586,0.0,0.0,17.0,7.0,2.0,3.0,253.0,253.0,-1.0,0.0,0.0,28.11111068725586,28.11111068725586,11.71399974822998
135,Malcolm Brown,116.0,23.0,81.0,7.363636493682861,18.0,1.0,3.0,0.0,0.0,1.0,81.0,7.363636493682861,2.0,4.0,11.0,18.0,0.5454545617103577,1.0,118.0,118.0,-1.0,0.0,0.0,10.727272987365723,10.727272987365723,4.5
136,Rex Burkhead,80.0,9.0,80.0,5.0,26.0,0.0,4.0,0.0,0.0,0.0,80.0,5.0,4.0,8.0,17.0,27.0,0.75,2.0,284.0,284.0,-1.0,0.0,0.0,17.75,17.75,3.0769999027252197
137,Brandon Powell,80.0,20.0,80.0,4.705882549285889,17.0,1.0,6.0,0.0,0.0,0.0,80.0,4.705882549285889,2.0,27.0,17.0,17.0,0.0,0.0,236.0,236.0,-1.0,0.0,0.0,13.882352828979492,13.882352828979492,4.705999851226807
138,Christian Watson,150.0,46.0,80.0,5.714285850524902,7.0,1.0,2.0,0.0,0.0,2.0,80.0,5.714285850524902,1.0,3.0,17.0,7.0,3.857142925262451,9.0,691.0,691.0,-1.0,0.0,0.0,49.35714340209961,49.35714340209961,11.428999900817871
139,Ray-Ray McCloud III,113.0,71.0,78.0,4.588235378265381,4.0,1.0,1.0,0.0,0.0,1.0,78.0,4.588235378265381,0.0,0.0,17.0,4.0,0.7058823704719543,2.0,321.0,321.0,-1.0,0.0,0.0,18.882352828979492,18.882352828979492,19.5
140,Jaret Patterson,78.0,14.0,78.0,26.0,17.0,0.0,3.0,0.0,0.0,0.0,78.0,26.0,0.0,0.0,3.0,17.0,0.0,0.0,78.0,78.0,-1.0,0.0,0.0,26.0,26.0,4.5879998207092285
141,Raheem Blackshear,167.0,16.0,77.0,5.92307710647583,23.0,0.0,7.0,0.0,0.0,3.0,77.0,5.92307710647583,5.0,11.0,15.0,23.0,1.384615421295166,3.0,170.0,170.0,-1.0,0.0,0.0,13.076923370361328,13.076923370361328,3.3480000495910645
142,Jeff Driskel,75.0,10.0,170.0,24.285715103149414,20.0,0.0,4.0,0.0,0.0,0.0,75.0,10.714285850524902,3.0,3.0,7.0,42.0,0.0,1.0,187.0,79.0,-1.0,0.0,0.0,11.285714149475098,26.714284896850586,3.75
